,sentence_idx,tag,word
388,42,B-PROD,hair
389,42,I-PROD,oil
390,42,O,with
391,42,D-MORE,more
392,42,O,than
393,42,B-DISC,29%
394,42,O,discount
395,42,O,and
396,42,P-LESS,less
397,42,O,than
398,42,B-PRICE,190
399,42,O,rs
400,43,O,show
401,43,O,me
402,43,B-PROD,face
403,43,I-PROD,wash
404,43,O,with
405,43,O,cost
406,43,P-LESS,less
407,43,O,than
408,43,B-PRICE,100
409,44,O,show
410,44,O,me
411,44,B-PROD,face
412,44,I-PROD,wash
413,44,O,with
414,44,O,cost
415,44,P-LESS,less
416,44,O,than
417,44,B-PRICE,100
418,44,O,and
419,44,O,discount
420,44,D-MORE,more
421,44,O,than
422,44,B-DISC,67%
423,45,B-PROD,cream
424,45,I-PROD,Biscuits
425,45,O,with
426,45,D-MORE,more
427,45,O,than
428,45,B-DISC,78%
429,45,O,discount
430,45,O,and
431,45,P-LESS,less
432,45,O,than
433,45,B-PRICE,300
434,46,B-BRAND,xybnu
435,46,B-PROD,hair
436,46,I-PROD,fall
437,46,I-PROD,shampoo
438,46,O,with
439,46,D-MORE,more
440,46,O,than
441,46,B-DISC,29%
442,46,O,discount
443,46,O,and
444,46,P-LESS,less
445,46,O,than
446,46,B-PRICE,190
447,46,O,rs
448,47,O,show
449,47,O,me
450,47,B-PROD,face
451,47,I-PROD,cream
452,47,O,with
453,47,O,cost
454,47,P-LESS,less
455,47,O,than
456,47,B-PRICE,100
457,48,O,show
458,48,O,me
459,48,B-PROD,face
460,48,I-PROD,cream
461,48,O,with
462,48,O,cost
463,48,P-LESS,less
464,48,O,than
465,48,B-PRICE,100
466,48,O,and
467,48,O,discount
468,48,D-MORE,more
469,48,O,than
470,48,B-DISC,67%
471,49,B-BRAND,bghn
472,49,B-PROD,cream
473,49,I-PROD,Biscuits
474,49,O,with
475,49,D-MORE,more
476,49,O,than
477,49,B-DISC,78%
478,49,O,discount
479,49,O,and
480,49,P-LESS,less
481,49,O,than
482,49,B-PRICE,300
483,50,B-PROD,GLBOT
484,50,I-PROD,SOYA
485,50,I-PROD,SAUCE
486,50,O,with
487,50,O,price
488,50,P-LESS,less
489,50,O,than
490,50,B-PRICE,230
491,50,O,rs
492,50,O,and
493,50,D-MORE,more
494,50,O,than
495,50,B-DISC,34%
496,50,O,discount
497,51,B-PROD,GLBOT
498,51,I-PROD,SOYA
499,51,I-PROD,SAUCE
500,51,O,with
501,51,O,price
502,51,P-LESS,less
503,51,O,than
504,51,B-PRICE,230
505,51,O,rs
506,52,B-PROD,GLBOT
507,52,I-PROD,SOYA
508,52,I-PROD,SAUCE
509,52,O,with
510,52,D-MORE,more
511,52,O,than
512,52,B-DISC,59%
513,52,O,discount
514,53,B-PROD,Fruit
515,53,I-PROD,Facewash
516,53,O,with
517,53,D-MORE,more
518,53,O,than
519,53,B-DISC,25%
520,53,O,discount
521,53,O,and
522,53,P-LESS,less
523,53,O,than
524,53,B-PRICE,153
525,53,O,rupess
526,54,B-PROD,Fruit
527,54,I-PROD,Facewash
528,54,O,with
529,54,D-MORE,more
530,54,O,than
531,54,B-DISC,25%
532,54,O,discount
533,54,O,and
534,54,P-LESS,less
535,54,O,than
536,54,B-PRICE,153
537,54,O,rupess
538,55,B-PROD,Fruit
539,55,I-PROD,Facewash
540,55,P-LESS,less
541,55,O,than
542,55,B-PRICE,150
543,55,O,rs
544,56,B-PROD,Facial
545,56,I-PROD,Kit
546,57,B-PROD,Chocolate
547,57,I-PROD,Biscuits
548,58,B-PROD,Biscuits
549,59,B-PROD,FACE
550,59,I-PROD,MASK
551,60,B-PROD,hand
552,60,I-PROD,wash
553,61,B-PROD,oil
554,62,B-PROD,hair
555,62,I-PROD,oil
556,63,B-PROD,natural
557,63,I-PROD,hair
558,63,I-PROD,oil
559,64,B-PROD,WHITE
560,64,I-PROD,PETROLEUM
561,64,I-PROD,JELLY
562,65,B-PROD,WHITE
563,65,I-PROD,PETROLEUM
564,65,I-PROD,JELLY
565,65,B-QUAN,100
566,65,O,gram
567,66,B-PROD,WHITE
568,66,I-PROD,PETROLEUM
569,66,I-PROD,JELLY
570,66,B-QUAN,100
571,66,O,gm
572,67,B-PROD,WHITE
573,67,I-PROD,PETROLEUM
574,67,I-PROD,JELLY
575,67,B-QUAN,100
576,67,O,gm
577,67,O,and
578,67,O,price
579,67,P-LESS,less
580,67,O,than
581,67,B-PRICE,200
582,67,O,rs
583,68,B-PROD,WHITE
584,68,I-PROD,PETROLEUM
585,68,I-PROD,JELLY
586,68,B-QUAN,100
587,68,O,gm
588,68,O,and
589,68,O,price
590,68,P-LESS,less
591,68,O,than
592,68,B-PRICE,200
593,68,O,rupess
594,69,B-BRAND,YCMRO
595,69,B-QUAN,1.2
596,69,O,KG
597,69,B-PROD,PLBOT
598,69,I-PROD,CONTINENTAL
599,69,I-PROD,SAUCE
600,70,B-BRAND,adidas
601,70,B-PROD,shoes
602,70,O,with
603,70,D-MORE,more
604,70,O,than
605,70,B-DISC,78%
606,70,O,discount
607,71,B-BRAND,adidas
608,71,B-PROD,shoes
609,71,O,with
610,71,D-MORE,more
611,71,O,than
612,71,B-DISC,78
613,71,O,discunt
614,72,B-BRAND,adidas
615,72,B-PROD,shoes
616,72,O,with
617,72,D-MORE,more
618,72,O,than
619,72,B-DISC,78%
620,72,O,discoun
621,73,B-BRAND,adidas
622,73,B-PROD,shoes
623,73,O,with
624,73,D-MORE,more
625,73,O,than
626,73,B-DISC,78%
627,73,O,discount
628,73,O,and
629,73,P-LESS,less
630,73,O,than
631,73,B-PRICE,900
632,73,O,rs
633,74,B-BRAND,nike
634,74,B-PROD,shoes
635,74,O,with
636,74,D-MORE,more
637,74,O,than
638,74,B-DISC,70%
639,74,O,discount
640,74,O,and
641,74,P-LESS,less
642,74,O,than
643,74,B-PRICE,900
644,74,O,rpess
645,75,B-BRAND,cardbury
646,75,B-PROD,white
647,75,I-PROD,chocolate
648,76,B-BRAND,cardbury
649,76,B-PROD,white
650,76,I-PROD,chocolate
651,76,O,with
652,76,O,discount
653,76,D-LESS,less
654,76,O,than
655,76,B-DISC,45%
656,77,B-BRAND,cardbury
657,77,B-PROD,white
658,77,I-PROD,chocolate
659,77,O,with
660,77,O,price
661,77,P-LESS,less
662,77,O,than
663,77,B-PRICE,450
664,77,O,rs
665,78,B-BRAND,cardbury
666,78,B-PROD,white
667,78,I-PROD,chocolate
668,78,O,with
669,78,O,price
670,78,P-LESS,less
671,78,O,than
672,78,B-PRICE,450
673,78,O,rupess
674,79,B-QUAN,100
675,79,O,gm
676,79,B-BRAND,cardbury
677,79,B-PROD,white
678,79,I-PROD,chocolate
679,79,O,with
680,79,O,price
681,79,P-LESS,less
682,79,O,than
683,79,B-PRICE,450
684,79,O,rs
685,80,B-QUAN,100
686,80,O,gm
687,80,B-BRAND,cardbury
688,80,B-PROD,white
689,80,I-PROD,chocolate
690,80,O,with
691,80,O,price
692,80,P-LESS,less
693,80,O,than
694,80,B-PRICE,450
695,80,O,rs
696,80,O,and
697,80,B-DISC,67%
698,80,O,discount
699,81,B-QUAN,1.90
700,81,O,kg
701,81,B-BRAND,soya
702,81,B-PROD,dal
703,81,I-PROD,chocolate
704,81,O,with
705,81,O,price
706,81,P-LESS,less
707,81,O,than
708,81,B-PRICE,450
709,81,O,rs
710,81,O,and
711,81,B-DISC,67%
712,81,O,discount
713,82,B-QUAN,100
714,82,O,ml
715,82,B-PROD,DREAM
716,82,I-PROD,BEAUTY
717,82,I-PROD,MIXED
718,82,I-PROD,FRUIT
719,82,I-PROD,MOISTURIZER
720,82,I-PROD,FCWSH
721,83,B-QUAN,100
722,83,O,ml
723,83,B-PROD,DREAM
724,83,I-PROD,BEAUTY
725,83,I-PROD,MIXED
726,83,I-PROD,FRUIT
727,83,I-PROD,MOISTURIZER
728,83,I-PROD,facewash
729,84,B-QUAN,107
730,84,O,ml
731,84,B-PROD,MIXED
732,84,I-PROD,FRUIT
733,84,I-PROD,MOISTURIZER
734,84,I-PROD,face
735,84,I-PROD,wash
736,85,B-QUAN,107
737,85,O,ml
738,85,B-PROD,MIXED
739,85,I-PROD,FRUIT
740,85,I-PROD,MOISTURIZER
741,85,I-PROD,face
742,85,I-PROD,wash
743,85,O,with
744,85,O,price
745,85,P-LESS,less
746,85,O,than
747,85,B-PRICE,451
748,85,O,rs
749,85,O,and
750,85,B-DISC,67%
751,85,O,discount
752,86,B-QUAN,107
753,86,O,ml
754,86,B-PROD,MIXED
755,86,I-PROD,FRUIT
756,86,I-PROD,MOISTURIZER
757,86,I-PROD,face
758,86,I-PROD,wash
759,86,O,with
760,86,O,price
761,86,P-LESS,less
762,86,O,than
763,86,B-PRICE,491
764,86,O,rs
765,86,O,and
766,86,B-DISC,69
767,86,O,discount
768,87,B-QUAN,107
769,87,O,ml
770,87,B-PROD,MIXED
771,87,I-PROD,FRUIT
772,87,I-PROD,MOISTURIZER
773,87,I-PROD,face
774,87,I-PROD,wash
775,87,O,with
776,87,O,price
777,87,P-LESS,less
778,87,O,than
779,87,B-PRICE,499
780,87,O,rupess
781,87,O,and
782,87,B-DISC,69%
783,87,O,discount
784,88,B-BRAND,himalyas
785,88,B-PROD,FRUIT
786,88,I-PROD,MOISTURIZER
787,88,O,with
788,88,O,cost
789,88,P-LESS,less
790,88,O,than
791,88,B-PRICE,700
792,88,O,rs
793,89,B-PROD,cream
794,89,O,for
795,89,B-PROD,washing
796,89,I-PROD,face
797,89,O,in
798,89,B-QUAN,100ml
799,89,O,pack
800,90,B-PROD,cream
801,90,O,for
802,90,B-PROD,washing
803,90,I-PROD,face
804,90,O,in
805,90,B-QUAN,100ml
806,90,O,pack
807,90,O,with
808,90,O,price
809,90,P-LESS,less
810,90,O,than
811,90,O,rs
812,90,B-PRICE,100
813,91,B-PROD,cream
814,91,O,for
815,91,B-PROD,washing
816,91,I-PROD,face
817,91,O,in
818,91,B-QUAN,100ml
819,91,O,pack
820,91,O,with
821,91,O,price
822,91,P-LESS,less
823,91,O,than
824,91,O,rpess
825,91,B-PRICE,100
826,92,B-BRAND,himalyas
827,92,B-PROD,creams
828,92,O,for
829,92,B-PROD,washing
830,92,I-PROD,face
831,92,O,in
832,92,B-QUAN,100ml
833,92,O,pack
834,92,O,with
835,92,O,price
836,92,P-LESS,less
837,92,O,than
838,92,O,rpess
839,92,B-PRICE,100
840,93,B-PROD,milk
841,93,I-PROD,cream
842,93,O,for
843,93,B-PROD,soft
844,93,I-PROD,skin
845,93,B-QUAN,100ml
846,94,B-PROD,milk
847,94,I-PROD,cream
848,94,O,for
849,94,B-PROD,soft
850,94,I-PROD,skin
851,94,B-QUAN,100
852,94,O,ml
853,95,B-PROD,milk
854,95,I-PROD,cream
855,95,O,for
856,95,B-PROD,soft
857,95,I-PROD,skin
858,95,B-QUAN,100
859,95,O,ml
860,95,O,and
861,95,O,cost
862,95,O,not
863,95,P-LESS,more
864,95,O,than
865,95,P-PRICE,100
866,96,B-PROD,milk
867,96,I-PROD,cream
868,96,O,for
869,96,B-PROD,soft
870,96,I-PROD,skin
871,96,B-QUAN,190
872,96,O,ml
873,96,O,with
874,96,O,price
875,96,O,not
876,96,P-LESS,more
877,96,O,than
878,96,P-PRICE,100
879,97,B-PROD,milk
880,97,I-PROD,cream
881,97,O,for
882,97,B-PROD,soft
883,97,I-PROD,skin
884,97,B-QUAN,190
885,97,O,ml
886,97,O,with
887,97,O,price
888,97,O,not
889,97,P-LESS,more
890,97,O,than
891,97,P-PRICE,150
892,97,O,rs
893,98,B-PROD,milk
894,98,I-PROD,cream
895,98,O,for
896,98,B-PROD,soft
897,98,I-PROD,skin
898,98,B-QUAN,190
899,98,O,ml
900,98,O,with
901,98,O,price
902,98,O,not
903,98,P-LESS,more
904,98,O,than
905,98,P-PRICE,150
906,98,O,rupess
907,99,B-PROD,KARACHI
908,99,I-PROD,BAKERY
909,99,I-PROD,TRIPLE
910,99,I-PROD,DELIGHT
911,99,I-PROD,BISCUITS
912,99,B-QUAN,600GM
913,100,B-PROD,KARACHI
914,100,I-PROD,BAKERY
915,100,I-PROD,TRIPLE
916,100,I-PROD,DELIGHT
917,100,I-PROD,BISCUITS
918,100,B-QUAN,600
919,100,O,GM
920,101,B-PROD,KARACHI
921,101,I-PROD,BAKERY
922,101,I-PROD,TRIPLE
923,101,I-PROD,DELIGHT
924,101,I-PROD,BISCUITS
925,101,B-QUAN,600
926,101,O,gram
927,102,B-QUAN,500
928,102,O,gm
929,102,B-PROD,KARACHI
930,102,I-PROD,BAKERY
931,102,I-PROD,TRIPLE
932,102,I-PROD,DELIGHT
933,102,I-PROD,BISCUITS
934,103,B-QUAN,500
935,103,O,gm
936,103,B-PROD,KARACHI
937,103,I-PROD,BAKERY
938,103,I-PROD,TRIPLE
939,103,I-PROD,DELIGHT
940,103,I-PROD,BISCUITS
941,103,O,with
942,103,O,price
943,103,P-LESS,less
944,103,O,the
945,103,O,rs
946,103,B-PRICE,800
947,104,B-QUAN,100
948,104,O,gram
949,104,B-PROD,KARACHI
950,104,I-PROD,BAKERY
951,104,I-PROD,TRIPLE
952,104,I-PROD,DELIGHT
953,104,I-PROD,BISCUITS
954,104,O,with
955,104,O,cost
956,104,P-LESS,less
957,104,O,than
958,104,O,rs
959,104,B-PRICE,800
960,105,B-QUAN,100gram
961,105,B-PROD,KARACHI
962,105,I-PROD,BAKERY
963,105,I-PROD,TRIPLE
964,105,I-PROD,DELIGHT
965,105,I-PROD,BISCUITS
966,105,O,with
967,105,O,cost
968,105,P-LESS,less
969,105,O,than
970,105,O,rs
971,105,B-PRICE,800
972,106,B-QUAN,100gram
973,106,B-PROD,KARACHI
974,106,I-PROD,BAKERY
975,106,I-PROD,TRIPLE
976,106,I-PROD,DELIGHT
977,106,I-PROD,BISCUITS
978,106,O,with
979,106,O,cost
980,106,P-LESS,less
981,106,O,than
982,106,B-PRICE,800
983,106,O,rupess
984,107,B-PROD,Biscuits
985,107,O,in
986,107,B-PROD,chocolate
987,107,O,falvour
988,107,O,in
989,107,B-QUAN,200
990,107,O,gm
991,107,O,pack
992,108,B-PROD,Biscuits
993,108,O,in
994,108,B-PROD,chocolate
995,108,O,falvour
996,108,O,in
997,108,B-QUAN,200gm
998,108,O,pack
999,109,B-PROD,Biscuits
1000,109,O,in
1001,109,B-PROD,orange
1002,109,O,falvour
1003,109,O,in
1004,109,B-QUAN,200gm
1005,109,O,pack
1006,110,B-PROD,Biscuits
1007,110,O,in
1008,110,B-PROD,orange
1009,110,O,falvour
1010,110,O,in
1011,110,B-QUAN,200gram
1012,110,O,pack
1013,111,B-PROD,Biscuits
1014,111,O,in
1015,111,B-PROD,orange
1016,111,O,falvour
1017,111,O,in
1018,111,B-QUAN,200gram
1019,111,O,pack
1020,111,O,with
1021,111,O,cost
1022,111,O,not
1023,111,P-LESS,more
1024,111,O,than
1025,111,B-PRICE,100
1026,111,O,rupess
1027,112,B-PROD,Biscuits
1028,112,O,in
1029,112,B-PROD,orange
1030,112,O,falvour
1031,112,O,in
1032,112,B-QUAN,200gram
1033,112,O,pack
1034,112,O,with
1035,112,O,price
1036,112,P-MORE,more
1037,112,O,than
1038,112,B-PRICE,100
1039,112,O,rupess
1040,113,B-PROD,Biscuits
1041,113,O,in
1042,113,B-PROD,orange
1043,113,O,falvour
1044,113,O,in
1045,113,B-QUAN,200gram
1046,113,O,pack
1047,113,O,with
1048,113,O,price
1049,113,P-LESS,less
1050,113,O,than
1051,113,B-PRICE,120
1052,113,O,rupess
1053,114,B-BRAND,PARLE
1054,114,I-BRAND,G
1055,114,B-PROD,Biscuits
1056,114,O,in
1057,114,B-PROD,orange
1058,114,O,falvour
1059,114,O,in
1060,114,B-QUAN,200gram
1061,114,O,pack
1062,114,O,with
1063,114,O,price
1064,114,P-LESS,less
1065,114,O,than
1066,114,B-PRICE,120
1067,114,O,rupess
1068,115,B-BRAND,PARLE
1069,115,I-BRAND,G
1070,115,B-PROD,Biscuits
1071,115,O,in
1072,115,B-PROD,orange
1073,115,O,falvour
1074,115,O,in
1075,115,B-QUAN,200gram
1076,115,O,pack
1077,115,O,with
1078,115,O,price
1079,115,P-LESS,less
1080,115,O,than
1081,115,B-PRICE,120
1082,115,O,rupess
1083,115,O,and
1084,115,O,discont
1085,115,D-MORE,more
1086,115,O,than
1087,115,B-DISC,67%
1088,116,B-PROD,cream
1089,116,O,in
1090,116,B-QUAN,100
1091,116,O,ml
1092,116,O,pack
1093,117,B-PROD,cream
1094,117,O,in
1095,117,B-QUAN,100ml
1096,117,O,pack
1097,118,B-PROD,FAIRNESS
1098,118,I-PROD,CREAM
1099,118,O,in
1100,118,B-QUAN,200ml
1101,119,B-PROD,FAIRNESS
1102,119,I-PROD,CREAM
1103,119,O,in
1104,119,B-QUAN,200
1105,119,O,ml
1106,120,B-BRAND,XZC
1107,120,B-PROD,FAIRNESS
1108,120,I-PROD,CREAM
1109,120,O,in
1110,120,B-QUAN,200
1111,120,O,ml
1112,121,B-PROD,cream
1113,121,O,of
1114,121,B-BRAND,xyz
1115,121,O,with
1116,121,O,pricess
1117,121,P-LESS,less
1118,121,O,than
1119,121,B-PRICE,200
1120,121,O,rs
1121,122,B-BRAND,abc
1122,122,B-PROD,biscuits
1123,122,O,with
1124,122,D-MORE,more
1125,122,O,than
1126,122,B-DISC,100%
1127,122,O,discount
1128,123,B-BRAND,xvcdjbfb
1129,123,B-PROD,choco
1130,123,I-PROD,biscuits
1131,123,O,with
1132,123,D-MORE,more
1133,123,O,than
1134,123,B-DISC,100%
1135,123,O,discount
1136,124,B-BRAND,NHGKA
1137,124,B-QUAN,25
1138,124,O,GM
1139,124,B-PROD,PLPCH
1140,124,I-PROD,SUPER
1141,124,I-PROD,LEMON
1142,125,B-BRAND,NHGKA
1143,125,B-QUAN,27
1144,125,O,GRAM
1145,125,B-PROD,PLPCH
1146,125,I-PROD,SUPER
1147,125,I-PROD,LEMON
1148,126,B-BRAND,NHGKA
1149,126,B-QUAN,25GRAM
1150,126,B-PROD,PLPCH
1151,126,I-PROD,SUPER
1152,126,I-PROD,LEMON
1153,127,B-BRAND,XXJRB
1154,127,B-QUAN,660
1155,127,O,GM
1156,127,B-PROD,PLBOT
1157,127,I-PROD,NATURES
1158,127,I-PROD,GIFT
1159,127,I-PROD,GREEN
1160,127,I-PROD,CHILLI
1161,127,I-PROD,SAUCE
1162,128,B-BRAND,XXJRB
1163,128,B-QUAN,690
1164,128,O,GM
1165,128,B-PROD,PLBOT
1166,128,I-PROD,NATURES
1167,128,I-PROD,GIFT
1168,128,I-PROD,GREEN
1169,128,I-PROD,CHILLI
1170,128,I-PROD,SAUCE
1171,128,O,with
1172,128,O,price
1173,128,P-LESS,less
1174,128,O,than
1175,128,B-PRICE,200rs
1176,129,B-BRAND,XXJRB
1177,129,B-QUAN,690
1178,129,O,GM
1179,129,B-PROD,PLBOT
1180,129,I-PROD,NATURES
1181,129,I-PROD,GIFT
1182,129,I-PROD,GREEN
1183,129,I-PROD,CHILLI
1184,129,I-PROD,SAUCE
1185,129,O,with
1186,129,O,price
1187,129,P-LESS,less
1188,129,O,than
